"ID_event","Nb_points","First_pt","Last_pt","Start_time","End_time","Duration","Diel","Tidal.Phase","HourOfTheDay","HourPostDeploy","MinPostDeploy_Start","MinPostDeploy_End","TimePostFirstHH","TimePostHH","Average_ODBA","Sum_ODBA","Max_absVV","Mean_TBP","SD_TBP","Mean_Heading","SD_Heading"
1,3992,29577,33568,2023-08-11 14:14:36,2023-08-11 14:15:56,79.84,"Day","Flood",14,0,9,11,20,20.4433333333333,3.796,15152.883,0.06,1.69962320987654,0.085771879043005,9.50257195590851,63.4896891878878
2,5763,42735,48497,2023-08-11 14:18:59,2023-08-11 14:20:54,115.26,"Day","Flood",14,0,14,16,20,20.5163888888889,3.757,21649.757,0.032,1.85703603448276,0.0991660186264674,60.2537698799289,60.8646938859552
3,8658,63662,72319,2023-08-11 14:25:58,2023-08-11 14:28:51,173.16,"Day","Flood",14,0,21,24,20,20.6327777777778,3.557,30796.17,0.055,1.96761465517241,0.10916571167437,94.020316498934,19.5912392959244
4,4915,88482,93396,2023-08-11 14:34:14,2023-08-11 14:35:52,98.3,"Day","Flood",14,0,29,31,20,20.7705555555556,3.311,16273.155,0.041,2.0067898989899,0.114490164201862,49.8276911231708,18.1517217169523
5,6485,104895,111379,2023-08-11 14:39:42,2023-08-11 14:41:52,129.7,"Day","Flood",14,0,34,37,20,20.8616666666667,3.179,20616.892,0.041,2.04580129770992,0.121329722963736,53.2938275125493,20.5159731163823
6,2646,123293,125938,2023-08-11 14:45:50,2023-08-11 14:46:43,52.92,"Day","Flood",14,0,41,41,20,20.9638888888889,3.604,9534.918,0.048,1.94637259259259,0.0522726735199686,53.1306455482253,22.9481460880072
7,5948,142025,147972,2023-08-11 14:52:05,2023-08-11 14:54:04,118.96,"Day","Flood",14,0,47,49,21,21.0680555555556,3.216,19125.84,0.036,2.0379885,0.105330178790875,67.7635536471893,10.4609765472674
8,4800,161630,166429,2023-08-11 14:58:37,2023-08-11 15:00:13,96,"Day","Flood",14,0,53,55,21,21.1769444444444,3.352,16091.811,0.04,2.0206506185567,0.110625189395454,65.7309479055227,11.4581095126889
9,6693,179500,186192,2023-08-11 15:04:35,2023-08-11 15:06:48,133.86,"Day","Flood",15,1,59,62,21,21.2763888888889,3.546,23731.746,0.052,2.02994701492537,0.102396548432415,70.2317581728112,15.4984467108979
10,5654,193971,199624,2023-08-11 15:09:24,2023-08-11 15:11:17,113.08,"Day","Flood",15,1,64,66,21,21.3566666666667,3.563,20145.15,0.052,1.94312236842105,0.124254198200492,63.761233624567,13.8198064737079
11,4674,210100,214773,2023-08-11 15:14:47,2023-08-11 15:16:20,93.48,"Day","Flood",15,1,70,71,21,21.4463888888889,3.602,16836.719,0.046,1.94419106382979,0.0554732164466971,71.6398127893134,13.0581729924118
12,3295,227504,230798,2023-08-11 15:20:35,2023-08-11 15:21:40,65.9,"Day","Flood",15,1,75,76,21,21.5430555555556,3.757,12379.199,0.066,1.85975818181818,0.109427371557002,71.7038955334443,18.2698504981363
13,3356,243682,247037,2023-08-11 15:25:58,2023-08-11 15:27:05,67.12,"Day","Flood",15,1,81,82,21,21.6327777777778,3.554,11927.686,0.044,1.94357235294118,0.0565033428179689,79.2880943127442,17.3014335419637
14,2930,258790,261719,2023-08-11 15:31:00,2023-08-11 15:31:59,58.6,"Day","Flood",15,1,86,87,21,21.7166666666667,3.667,10744.009,0.032,1.9416155,0.0712451109336574,83.309814091926,20.562972401459
15,2965,271221,274185,2023-08-11 15:35:09,2023-08-11 15:36:08,59.3,"Day","Flood",15,1,90,91,21,21.7858333333333,3.745,11104.786,0.04,1.83844333333333,0.135731811050591,56.7279397817985,19.6370226978882
